Date:  10:33; onsdag; februar 07; 2024
Model name: Exercise2
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/mm^2 (MPa))  ,X (mm)  ,Y (mm)  ,Z (mm)
405  ,1.3       ,1.9474  ,46.763  ,0
406  ,1.2       ,1.9062  ,45.858  ,0
407  ,1.2       ,1.8894  ,45.976  ,0
408  ,1.2       ,1.9308  ,46.168  ,0
409  ,1.2       ,1.8437  ,45.858  ,0
410  ,1.3       ,1.8256  ,47.096  ,0
411  ,1.4       ,1.813  ,47.516  ,0
412  ,1.2       ,1.7812  ,45.858  ,0
413  ,1.2       ,1.7662  ,45.977  ,0
414  ,1.2       ,1.8128  ,46.138  ,0
415  ,1.2       ,1.814  ,46.402  ,0
416  ,1.2       ,1.7187  ,45.858  ,0
417  ,1.2       ,1.7029  ,46.771  ,0
418  ,1.1       ,1.6562  ,45.858  ,0
419  ,1.1       ,1.6397  ,45.982  ,0
420  ,1.2       ,1.6926  ,46.182  ,0
421  ,1.1       ,1.5937  ,45.858  ,0
422  ,1.2       ,1.5993  ,46.445  ,0
423  ,1.1       ,1.5312  ,45.858  ,0
424  ,1.1       ,1.5133  ,45.978  ,0
425  ,1.1       ,1.543  ,46.185  ,0
426  ,1.3       ,1.5811  ,47.147  ,0
427  ,1.1       ,1.4687  ,45.858  ,0
428  ,1.2       ,1.4605  ,46.765  ,0
429  ,1.3       ,1.4641  ,47.492  ,0
430  ,1.1       ,1.4063  ,45.858  ,0
431  ,1.1       ,1.3895  ,45.978  ,0
432  ,1.1       ,1.4274  ,46.142  ,0
433  ,1.1       ,1.3953  ,46.403  ,0
434  ,1.1       ,1.3437  ,45.858  ,0
435  ,1.1       ,1.2812  ,45.858  ,0
436  ,1.1       ,1.2624  ,45.982  ,0
437  ,1.1       ,1.3034  ,46.181  ,0
438  ,1.1       ,1.2187  ,45.858  ,0
439  ,1.1       ,1.1938  ,46.424  ,0
440  ,1.2       ,1.2592  ,46.689  ,0
441  ,1.2       ,1.2568  ,47.097  ,0
